,Total Late Night,Total Morning,Total Day,Total Night,,,,Percent Morning,Percent Day,Percent Night,Percent Late Night,Average Ride Revenue
119,23,108,77,165,,,,0.289544236,0.206434316,0.442359249,0.061662198,22.30833948
120,13,125,54,31,,,,0.560538117,0.242152466,0.139013453,0.058295964,13.1292893
121,16,9,86,125,,,,0.038135593,0.36440678,0.529661017,0.06779661,13.31681882
122,0,0,0,0,,,,0,0,0,0,12.64222032
123,54,32,44,65,,,,0.164102564,0.225641026,0.333333333,0.276923077,14.48377429
124,38,46,55,329,,,,0.098290598,0.117521368,0.702991453,0.081196581,12.95779557
125,7,107,93,47,,,,0.421259843,0.366141732,0.18503937,0.027559055,12.68108078
126,83,12,42,75,,,,0.056603774,0.198113208,0.353773585,0.391509434,14.10948914
127,49,0,6,170,,,,0,0.026666667,0.755555556,0.217777778,14.49752948
128,16,0,2,27,,,,0,0.044444444,0.6,0.355555556,16.59526897
129,35,84,82,163,,,,0.230769231,0.225274725,0.447802198,0.096153846,17.04145694
130,17,125,143,191,,,,0.262605042,0.300420168,0.401260504,0.035714286,12.27402754
131,1,17,14,8,,,,0.425,0.35,0.2,0.025,14.72655759
132,146,29,101,293,,,,0.050966608,0.177504394,0.514938489,0.25659051,12.62648283
133,0,0,0,0,,,,0,0,0,0,0
134,129,35,110,369,,,,0.054432348,0.171073095,0.573872473,0.200622084,14.07166843
135,10,142,151,163,,,,0.30472103,0.324034335,0.349785408,0.021459227,14.62701502
136,0,43,203,59,,,,0.140983607,0.66557377,0.193442623,0,14.75494601
137,0,0,0,0,,,,0,0,0,0,0
138,0,7,173,133,,,,0.022364217,0.552715655,0.424920128,0,15.45572928
139,0,0,13,29,,,,0,0.30952381,0.69047619,0,17.53071488
140,0,0,0,0,,,,0,0,0,0,0
141,1,11,19,17,,,,0.229166667,0.395833333,0.354166667,0.020833333,18.57965121
142,0,0,0,0,,,,0,0,0,0,0
143,0,0,4,23,,,,0,0.148148148,0.851851852,0,11.58618416
144,0,21,198,109,,,,0.06402439,0.603658537,0.332317073,0,15.37429101
145,22,221,175,170,,,,0.37585034,0.297619048,0.289115646,0.037414966,15.00275657
146,9,6,10,29,,,,0.111111111,0.185185185,0.537037037,0.166666667,14.9467489
147,0,54,152,126,,,,0.162650602,0.457831325,0.379518072,0,15.46603495
148,34,86,140,34,,,,0.292517007,0.476190476,0.115646259,0.115646259,15.37226939
149,18,6,127,90,,,,0.024896266,0.526970954,0.373443983,0.074688797,13.02277213
150,4,14,20,4,,,,0.333333333,0.476190476,0.095238095,0.095238095,14.35904393
151,43,94,129,193,,,,0.204793028,0.281045752,0.420479303,0.093681917,14.00589278
152,0,39,104,104,,,,0.157894737,0.421052632,0.421052632,0,17.02387724
153,19,0,0,34,,,,0,0,0.641509434,0.358490566,13.0533765
154,11,153,77,27,,,,0.570895522,0.287313433,0.100746269,0.041044776,13.11539158
155,3,6,14,17,,,,0.15,0.35,0.425,0.075,13.20911811
156,3,4,8,26,,,,0.097560976,0.195121951,0.634146341,0.073170732,11.99718219
157,0,0,0,0,,,,0,0,0,0,11.61931494
158,25,23,49,118,,,,0.106976744,0.227906977,0.548837209,0.11627907,15.51567423
159,0,1,20,13,,,,0.029411765,0.588235294,0.382352941,0,14.38366191
160,17,90,13,104,,,,0.401785714,0.058035714,0.464285714,0.075892857,11.59219983
161,84,82,120,153,,,,0.186788155,0.273348519,0.348519362,0.191343964,14.53372947
162,2,94,193,249,,,,0.17472119,0.358736059,0.462825279,0.003717472,12.29915481
163,5,220,35,17,,,,0.794223827,0.126353791,0.061371841,0.018050542,16.10049466
164,402,33,9,139,,,,0.056603774,0.015437393,0.238421955,0.689536878,14.0602993
165,0,4,15,16,,,,0.114285714,0.428571429,0.457142857,0,13.64914175
166,0,0,0,33,,,,0,0,1,0,11.02119824
167,0,0,24,10,,,,0,0.705882353,0.294117647,0,11.00342863
168,70,1,24,200,,,,0.003389831,0.081355932,0.677966102,0.237288136,12.62460745
169,0,192,66,0,,,,0.744186047,0.255813953,0,0,12.80694559
170,0,0,0,0,,,,0,0,0,0,0
171,13,0,0,13,,,,0,0,0.5,0.5,12.01684764
172,0,15,13,4,,,,0.46875,0.40625,0.125,0,13.01297911
173,0,0,0,0,,,,0,0,0,0,0
174,5,40,57,115,,,,0.184331797,0.262672811,0.529953917,0.023041475,12.56423763
175,9,12,3,19,,,,0.279069767,0.069767442,0.441860465,0.209302326,13.83167164
176,0,31,13,5,,,,0.632653061,0.265306122,0.102040816,0,13.68204855
177,6,0,3,18,,,,0,0.111111111,0.666666667,0.222222222,13.45608129
178,6,11,8,16,,,,0.268292683,0.195121951,0.390243902,0.146341463,14.00548372
179,6,6,6,36,,,,0.111111111,0.111111111,0.666666667,0.111111111,11.64934854
180,18,0,0,21,,,,0,0,0.538461538,0.461538462,14.04246919
181,0,1,11,17,,,,0.034482759,0.379310345,0.586206897,0,11.02905571
182,10,153,232,106,,,,0.305389222,0.463073852,0.211576846,0.01996008,12.36969947
183,56,22,37,138,,,,0.086956522,0.146245059,0.545454545,0.221343874,13.25659804
184,0,0,0,0,,,,0,0,0,0,0
185,14,2,2,7,,,,0.08,0.08,0.28,0.56,14.80469098
186,0,0,30,26,,,,0,0.535714286,0.464285714,0,17.24504332
187,0,0,7,35,,,,0,0.166666667,0.833333333,0,11.2025579
188,30,10,49,225,,,,0.031847134,0.156050955,0.71656051,0.095541401,12.8611923
189,63,0,13,103,,,,0,0.072625698,0.575418994,0.351955307,13.86170348
190,0,25,14,4,,,,0.581395349,0.325581395,0.093023256,0,17.007081
191,0,0,0,0,,,,0,0,0,0,0
192,12,35,158,186,,,,0.089514066,0.404092072,0.475703325,0.030690537,17.51902836
193,0,1,26,15,,,,0.023809524,0.619047619,0.357142857,0,14.89717467
194,0,21,6,14,,,,0.512195122,0.146341463,0.341463415,0,13.82405915
195,5,18,7,3,,,,0.545454545,0.212121212,0.090909091,0.151515152,12.53470906
196,8,98,70,31,,,,0.473429952,0.338164251,0.149758454,0.038647343,15.965193
197,2,24,4,14,,,,0.545454545,0.090909091,0.318181818,0.045454545,11.62964343
198,171,23,28,142,,,,0.063186813,0.076923077,0.39010989,0.46978022,15.23823531
199,0,29,182,48,,,,0.111969112,0.702702703,0.185328185,0,14.06960796
200,74,0,0,85,,,,0,0,0.534591195,0.465408805,13.01493292
201,5,9,12,31,,,,0.157894737,0.210526316,0.543859649,0.087719298,12.32645339
202,2,0,11,16,,,,0,0.379310345,0.551724138,0.068965517,13.3476971
203,194,1,198,390,,,,0.001277139,0.252873563,0.498084291,0.247765006,16.11638904
204,20,48,98,67,,,,0.206008584,0.420600858,0.287553648,0.08583691,12.87036384
205,0,30,9,5,,,,0.681818182,0.204545455,0.113636364,0,16.13756104
206,32,97,241,72,,,,0.219457014,0.545248869,0.162895928,0.07239819,12.62869347
207,167,3,0,20,,,,0.015789474,0,0.105263158,0.878947368,15.67306914
208,40,26,36,97,,,,0.130653266,0.180904523,0.487437186,0.201005025,11.91953897
209,17,189,154,173,,,,0.354596623,0.288930582,0.324577861,0.031894934,12.90621777
210,30,34,17,200,,,,0.120996441,0.060498221,0.711743772,0.106761566,13.95428096
211,121,25,43,244,,,,0.057736721,0.099307159,0.563510393,0.279445727,14.49810373
212,0,0,0,0,,,,0,0,0,0,0
213,135,0,0,213,,,,0,0,0.612068966,0.387931034,12.89712327
214,40,6,96,192,,,,0.017964072,0.28742515,0.574850299,0.119760479,13.64966704
215,0,0,0,0,,,,0,0,0,0,0
216,72,99,157,360,,,,0.143895349,0.228197674,0.523255814,0.104651163,13.15664562
217,79,56,130,92,,,,0.156862745,0.364145658,0.257703081,0.221288515,12.68338115
218,4,0,7,15,,,,0,0.269230769,0.576923077,0.153846154,11.9669076
219,3,13,22,21,,,,0.220338983,0.372881356,0.355932203,0.050847458,17.45342836
220,96,20,44,165,,,,0.061538462,0.135384615,0.507692308,0.295384615,13.60241006
221,7,23,58,115,,,,0.113300493,0.285714286,0.566502463,0.034482759,12.43912101
222,0,6,2,22,,,,0.2,0.066666667,0.733333333,0,16.09681979
223,34,31,149,179,,,,0.078880407,0.37913486,0.455470738,0.086513995,13.24500648
224,104,23,105,165,,,,0.057934509,0.264483627,0.415617128,0.261964736,15.37252343
225,87,32,32,141,,,,0.109589041,0.109589041,0.482876712,0.297945205,11.65835427
226,0,191,121,0,,,,0.612179487,0.387820513,0,0,14.00718593
227,0,134,76,0,,,,0.638095238,0.361904762,0,0,14.69204584
228,0,0,0,0,,,,0,0,0,0,0
229,10,4,13,19,,,,0.086956522,0.282608696,0.413043478,0.217391304,15.80852303
230,0,0,7,17,,,,0,0.291666667,0.708333333,0,12.40955866
231,0,104,123,39,,,,0.390977444,0.462406015,0.146616541,0,16.31457494
232,4,105,68,43,,,,0.477272727,0.309090909,0.195454545,0.018181818,13.01888348
233,0,110,127,74,,,,0.353697749,0.408360129,0.237942122,0,13.17900509
234,12,52,40,89,,,,0.269430052,0.207253886,0.461139896,0.062176166,12.29256443
235,0,112,163,16,,,,0.384879725,0.560137457,0.054982818,0,13.79048574
236,2,47,114,46,,,,0.224880383,0.545454545,0.220095694,0.009569378,11.0847416
237,75,144,142,88,,,,0.320712695,0.316258352,0.195991091,0.167037862,15.09837115
238,0,159,75,82,,,,0.503164557,0.237341772,0.259493671,0,15.09317497
239,0,1,47,20,,,,0.014705882,0.691176471,0.294117647,0,16.38246254
240,32,0,37,277,,,,0,0.106936416,0.800578035,0.092485549,13.07654642
241,25,22,53,134,,,,0.094017094,0.226495726,0.572649573,0.106837607,12.01926567
242,121,54,90,214,,,,0.112734864,0.187891441,0.446764092,0.252609603,15.33018872
243,11,12,5,11,,,,0.307692308,0.128205128,0.282051282,0.282051282,14.40858146
244,18,11,43,110,,,,0.06043956,0.236263736,0.604395604,0.098901099,12.68681138
245,6,5,3,21,,,,0.142857143,0.085714286,0.6,0.171428571,14.7640708
246,27,16,23,17,,,,0.192771084,0.277108434,0.204819277,0.325301205,16.48786598
247,3,18,130,68,,,,0.082191781,0.593607306,0.310502283,0.01369863,13.75530767
248,68,7,4,124,,,,0.034482759,0.019704433,0.610837438,0.334975369,12.22707374
249,171,75,115,225,,,,0.127986348,0.196245734,0.383959044,0.291808874,14.82612337
250,93,137,48,125,,,,0.339950372,0.1191067,0.310173697,0.230769231,13.04391906
251,54,61,45,75,,,,0.259574468,0.191489362,0.319148936,0.229787234,15.05933264
252,0,100,110,6,,,,0.462962963,0.509259259,0.027777778,0,14.26618001
253,29,0,37,111,,,,0,0.209039548,0.627118644,0.163841808,12.39350309
254,0,41,15,0,,,,0.732142857,0.267857143,0,0,17.34736661
255,20,66,24,225,,,,0.197014925,0.071641791,0.671641791,0.059701493,12.66155893
256,7,0,6,34,,,,0,0.127659574,0.723404255,0.14893617,10.61390794
257,0,0,0,0,,,,0,0,0,0,0
258,1,160,71,5,,,,0.675105485,0.299578059,0.021097046,0.004219409,14.12250388
259,69,71,133,188,,,,0.154013015,0.288503254,0.407809111,0.14967462,18.92093994
260,4,0,15,17,,,,0,0.416666667,0.472222222,0.111111111,11.73629303
261,1,119,115,190,,,,0.28,0.270588235,0.447058824,0.002352941,13.05499126
262,19,1,2,6,,,,0.035714286,0.071428571,0.214285714,0.678571429,16.34270716
263,98,0,2,95,,,,0,0.01025641,0.487179487,0.502564103,13.70821761
264,11,4,7,11,,,,0.121212121,0.212121212,0.333333333,0.333333333,11.00135801
265,48,6,59,185,,,,0.020134228,0.197986577,0.620805369,0.161073826,12.87102371
266,30,43,86,161,,,,0.134375,0.26875,0.503125,0.09375,13.34994655
267,40,25,26,132,,,,0.112107623,0.116591928,0.591928251,0.179372197,13.9089474
268,23,3,1,22,,,,0.06122449,0.020408163,0.448979592,0.469387755,15.65255677
269,26,258,182,82,,,,0.47080292,0.332116788,0.149635036,0.047445255,13.00083174
270,43,21,18,122,,,,0.102941176,0.088235294,0.598039216,0.210784314,14.67411258
271,0,0,0,0,,,,0,0,0,0,0
272,92,30,116,172,,,,0.073170732,0.282926829,0.419512195,0.224390244,13.36576458
273,0,11,27,12,,,,0.22,0.54,0.24,0,15.59618143
274,46,28,67,86,,,,0.123348018,0.295154185,0.378854626,0.202643172,13.49428469
275,0,67,98,50,,,,0.311627907,0.455813953,0.23255814,0,13.60879757
276,108,1,20,99,,,,0.004385965,0.087719298,0.434210526,0.473684211,14.0221473
277,7,4,7,24,,,,0.095238095,0.166666667,0.571428571,0.166666667,12.60521481
278,77,43,34,73,,,,0.189427313,0.149779736,0.321585903,0.339207048,13.89451639
279,7,5,16,25,,,,0.094339623,0.301886792,0.471698113,0.132075472,14.80996127
280,0,22,23,6,,,,0.431372549,0.450980392,0.117647059,0,16.23220851
281,0,0,0,0,,,,0,0,0,0,13.00222926
282,0,10,12,5,,,,0.37037037,0.444444444,0.185185185,0,11.51691381
283,0,0,0,0,,,,0,0,0,0,0
284,0,0,0,0,,,,0,0,0,0,0
285,36,31,22,99,,,,0.164893617,0.117021277,0.526595745,0.191489362,13.59060521
286,45,57,31,144,,,,0.205776173,0.111913357,0.519855596,0.162454874,14.86074327
287,38,101,45,130,,,,0.321656051,0.143312102,0.414012739,0.121019108,12.5047747
288,0,35,104,31,,,,0.205882353,0.611764706,0.182352941,0,12.91539056
289,26,3,63,136,,,,0.013157895,0.276315789,0.596491228,0.114035088,16.33747609
290,4,14,14,7,,,,0.358974359,0.358974359,0.179487179,0.102564103,14.78126548
291,1,2,14,10,,,,0.074074074,0.518518519,0.37037037,0.037037037,14.03335271
292,0,4,24,17,,,,0.088888889,0.533333333,0.377777778,0,14.15033726
293,0,0,0,0,,,,0,0,0,0,0
294,13,59,122,131,,,,0.181538462,0.375384615,0.403076923,0.04,12.14852479
295,5,334,150,155,,,,0.51863354,0.232919255,0.24068323,0.007763975,13.78330435
296,173,184,112,362,,,,0.221419976,0.134777377,0.435619735,0.208182912,13.3421388
297,0,5,10,20,,,,0.142857143,0.285714286,0.571428571,0,11.74530484
298,71,1,72,176,,,,0.003125,0.225,0.55,0.221875,12.66380439
299,0,0,0,0,,,,0,0,0,0,0
300,0,0,0,0,,,,0,0,0,0,11.85687913
301,103,53,29,61,,,,0.215447154,0.117886179,0.24796748,0.418699187,14.98472927
302,9,140,47,60,,,,0.546875,0.18359375,0.234375,0.03515625,16.58064407
303,0,30,108,81,,,,0.136986301,0.493150685,0.369863014,0,12.88326813
304,13,7,5,6,,,,0.225806452,0.161290323,0.193548387,0.419354839,12.01545236
305,37,86,33,121,,,,0.310469314,0.119133574,0.436823105,0.133574007,16.49403577
306,53,59,146,159,,,,0.141486811,0.350119904,0.381294964,0.127098321,13.62388271
307,50,24,84,82,,,,0.1,0.35,0.341666667,0.208333333,12.99835618
308,0,0,0,0,,,,0,0,0,0,0
309,0,0,25,22,,,,0,0.531914894,0.468085106,0,13.73455355
310,7,210,62,297,,,,0.364583333,0.107638889,0.515625,0.012152778,13.56883642
311,0,0,0,0,,,,0,0,0,0,11.46183453
312,15,0,61,160,,,,0,0.258474576,0.677966102,0.063559322,12.27005156
313,0,26,25,12,,,,0.412698413,0.396825397,0.19047619,0,15.87042757
314,9,21,142,169,,,,0.061583578,0.416422287,0.495601173,0.026392962,12.3420712
315,6,0,15,28,,,,0,0.306122449,0.571428571,0.12244898,11.11903771
316,0,14,16,10,,,,0.35,0.4,0.25,0,14.1957952
317,0,0,0,0,,,,0,0,0,0,0
318,0,0,0,0,,,,0,0,0,0,0
319,171,78,102,299,,,,0.12,0.156923077,0.46,0.263076923,14.94066734
320,104,69,36,80,,,,0.238754325,0.124567474,0.276816609,0.359861592,13.5435201
321,0,5,21,11,,,,0.135135135,0.567567568,0.297297297,0,13.28385881
322,82,63,39,71,,,,0.247058824,0.152941176,0.278431373,0.321568627,15.3304076
323,101,107,38,72,,,,0.336477987,0.119496855,0.226415094,0.317610063,15.63367559
324,1,1,37,12,,,,0.019607843,0.725490196,0.235294118,0.019607843,17.74440927
325,0,2,35,2,,,,0.051282051,0.897435897,0.051282051,0,14.20969615
326,0,0,0,0,,,,0,0,0,0,0
327,0,0,0,0,,,,0,0,0,0,0
328,0,9,17,10,,,,0.25,0.472222222,0.277777778,0,13.9559953
329,5,18,8,18,,,,0.367346939,0.163265306,0.367346939,0.102040816,14.01965172
330,8,0,12,24,,,,0,0.272727273,0.545454545,0.181818182,15.30681756
331,27,16,188,201,,,,0.037037037,0.435185185,0.465277778,0.0625,13.21602612
332,0,9,20,10,,,,0.230769231,0.512820513,0.256410256,0,10.70114605
333,39,47,43,123,,,,0.186507937,0.170634921,0.488095238,0.154761905,16.31019143
334,3,11,17,19,,,,0.22,0.34,0.38,0.06,16.26236345
335,114,36,77,225,,,,0.079646018,0.170353982,0.497787611,0.252212389,16.6918221
336,2,0,2,44,,,,0,0.041666667,0.916666667,0.041666667,11.31820325
337,15,105,80,92,,,,0.359589041,0.273972603,0.315068493,0.051369863,13.81979309
338,33,127,148,203,,,,0.24853229,0.28962818,0.397260274,0.064579256,13.42144124
339,4,68,88,98,,,,0.263565891,0.341085271,0.379844961,0.015503876,14.79003221
340,54,7,63,157,,,,0.024911032,0.224199288,0.558718861,0.192170819,12.82699158
341,22,82,31,63,,,,0.414141414,0.156565657,0.318181818,0.111111111,14.72444392
342,1,5,18,26,,,,0.1,0.36,0.52,0.02,13.05630325
343,14,149,98,22,,,,0.526501767,0.346289753,0.077738516,0.049469965,14.40057677
344,123,227,141,428,,,,0.247007617,0.153427639,0.465723613,0.133841132,13.75548759
345,128,41,36,143,,,,0.117816092,0.103448276,0.41091954,0.367816092,14.18069727
346,7,0,5,16,,,,0,0.178571429,0.571428571,0.25,15.07258255
347,0,115,28,100,,,,0.473251029,0.115226337,0.411522634,0,14.52258682
348,0,164,128,0,,,,0.561643836,0.438356164,0,0,12.16498863
349,0,0,0,0,,,,0,0,0,0,0
350,55,21,97,155,,,,0.06402439,0.295731707,0.472560976,0.167682927,12.20906515
351,0,0,35,17,,,,0,0.673076923,0.326923077,0,14.47182489
352,3,10,3,15,,,,0.322580645,0.096774194,0.483870968,0.096774194,12.9965199
353,0,223,232,16,,,,0.473460722,0.492569002,0.033970276,0,13.23085532
354,44,78,171,63,,,,0.219101124,0.480337079,0.176966292,0.123595506,14.82945562
355,4,0,9,18,,,,0,0.290322581,0.580645161,0.129032258,12.92616435
356,45,9,38,178,,,,0.033333333,0.140740741,0.659259259,0.166666667,12.80156228
