,Unnamed: 0,Driver ID,Driver Onboard Date,Number of Rides,Average Ride Distance in Miles,Average Ride Duration in Minutes,Percentage of Prime Rides: ,Total Revenue: ,Average Ride Revenue,Week 1 Rides,Week 2 Rides,Week 3 Rides,Week 4 Rides,Week 5 Rides,Week 6 Rides,Week 7 Rides,Week 8 Rides,Week 9 Rides,Week 10 Rides,Week 11 Rides,Week 12 Rides,Week 13 Rides,First Ride Week,Last Ride Week
11,11,02e440f6c209206375833cef02e0cbae,2016-03-31,56,5.0539240575994775,14.88720238095238,23.214285714285715,798.33146241627,14.255918971719108,4,2,0,33,8,0,8,1,0,0,0,0,0,1,8
12,12,036f3d94e7c65e4e3574822d31c72656,2016-04-09,204,4.827158472222324,16.448529411764707,22.549019607843142,2999.1586202615167,14.701757942458418,0,2,9,3,19,23,12,18,24,16,33,24,21,2,13
13,13,039c5afbca8e03e4c18d9c8ea94140ac,2016-04-12,38,4.015245216574562,13.346491228070176,21.05263157894737,478.42172145724334,12.590045301506406,0,0,12,6,8,3,0,1,6,0,2,0,0,3,11
14,14,039da9c077e17af98ca8530e4d7975f1,2016-05-04,396,3.336245939580226,12.758122895622895,47.22222222222222,5020.825044353579,12.678851122104998,0,0,0,0,0,59,70,54,58,65,35,0,55,6,13
15,15,03f2b5c74cb89f39e58711699e76bf39,2016-04-10,223,3.786520068026661,16.00904334828102,33.18385650224215,2974.2196157482745,13.337307693938449,0,3,21,33,20,5,0,12,18,26,0,49,36,2,13
16,16,03f5278eb43475aa6790f5be32463755,2016-04-12,370,3.80514221206679,14.504189189189189,37.837837837837846,4974.125851747712,13.443583383101926,0,0,21,22,25,23,27,21,11,23,61,71,65,3,13
17,17,0430df9a3eb327122c57ee3a64765000,2016-04-05,43,3.674046937051474,13.81356589147287,18.6046511627907,508.78080508262184,11.832111746107485,0,26,17,0,0,0,0,0,0,0,0,0,0,2,3
18,18,04c4ffa5a385eab86fa7e422263d2999,2016-04-07,55,5.266902185763335,17.376969696969695,40.0,911.1366943954248,16.566121716280453,0,19,15,12,0,9,0,0,0,0,0,0,0,2,6
19,19,04d686ef2fba281e395992a28f14fdd3,2016-05-14,318,5.050800933825523,14.207914046121594,30.188679245283016,4646.8793645365995,14.612828190366669,0,0,0,0,0,0,8,45,41,54,65,63,42,7,13
20,20,052bba06c5fc0bdea4bc2f9cb92b37c7,2016-04-15,56,4.014667059610948,13.989880952380952,25.0,751.4781070449167,13.419251911516366,0,0,16,18,0,6,11,0,2,0,0,0,3,3,13
21,21,059ed570673c2d15ca11dd6b3a25513b,2016-05-12,32,6.092715026035518,16.944791666666667,25.0,510.3893832274929,15.949668225859153,0,0,0,0,0,0,6,4,4,10,3,2,3,7,13
22,22,05addf442c147875efa5cf53453ad47b,2016-04-08,344,4.0588229726413925,14.447771317829455,45.34883720930232,4985.052671858235,14.491432185634403,0,36,42,39,39,17,26,37,46,8,4,31,19,2,13
23,23,05bad02e08c7f849e91dc1259da8b4ec,2016-05-12,46,5.536714753712162,15.39782608695652,28.26086956521739,723.9710208636251,15.738500453557064,0,0,0,0,0,0,7,12,12,5,10,0,0,7,11
24,24,0656192a402808805282e60761bda088,2016-04-30,315,5.209131378119908,13.278730158730161,32.063492063492056,4555.372298053857,14.461499358901133,0,0,0,0,13,40,32,33,49,23,50,47,28,5,13
25,25,06b1ba06e5505f8218ec8686498f990a,2016-05-11,44,3.1350655322283445,13.297727272727276,54.54545454545455,579.0391428950169,13.159980520341295,0,0,0,0,0,0,16,26,2,0,0,0,0,7,9
26,26,06c848ab3a7fc5421e82e98850a81710,2016-04-20,400,3.910253582213827,13.230666666666668,31.0,5012.0184853884275,12.530046213471069,0,0,0,9,48,35,70,66,32,24,44,23,49,4,13
27,27,07dd442e3e0b9f0f9b0d69c7b47cbb06,2016-04-08,286,3.6481445158294057,14.625116550116552,19.93006993006993,3468.0833708103955,12.126165632204179,0,17,34,23,40,0,36,6,16,34,22,48,10,2,13
28,28,07e6a2fdaadc640cca9a7bec41351065,2016-05-14,22,2.9961181150488567,11.53560606060606,36.36363636363637,259.44966453432255,11.793166569741937,0,0,0,0,0,0,4,1,0,0,11,6,0,7,12
29,29,081d8ba3bc9a00a481df02bd9d0a4c53,2016-04-04,192,2.9637149390433346,13.408333333333333,35.416666666666664,2215.0781362991447,11.536865293224714,0,29,0,0,4,13,0,0,8,39,37,41,21,2,13
30,30,0822973f3e812a68a867962dbbd37f5d,2016-05-08,36,3.1044990147790053,11.798148148148151,38.888888888888886,409.2473484409757,11.367981901138215,0,0,0,0,0,1,9,8,13,5,0,0,0,6,10
31,31,08a1491d6a804e0af969f08252ddbbd8,2016-04-16,571,4.153828862892027,15.596964389959135,42.732049036777575,8327.675441499832,14.584370300349967,0,0,1,42,62,44,53,55,58,58,64,61,73,3,13
32,32,08b2b063cce8d02495c4b880293f153c,2016-04-20,522,4.52749912424536,15.976021711366537,42.911877394636015,7802.987121535329,14.948251190680704,0,0,0,1,54,52,71,76,69,47,46,29,77,4,13
33,33,0938ed763cb3129ae63607aaf69daff5,2016-03-30,38,2.420524791791077,13.492105263157894,18.42105263157895,396.232060490636,10.427159486595682,12,6,0,0,7,9,0,0,0,1,0,0,3,1,13
34,34,0abc4faab8bbdf4d62412655fe0a2398,2016-05-03,46,3.478849822854737,11.366666666666667,47.82608695652174,596.4564565815801,12.96644470829522,0,0,0,0,0,41,2,0,0,3,0,0,0,6,10
35,35,0afc0241296972b583debd7c5f5c707c,2016-04-05,428,3.791416089883715,14.646962616822428,42.52336448598131,5717.325877288206,13.358238031047213,0,65,19,0,0,37,60,23,52,50,47,66,9,2,13
36,36,0b10af0ede0648dbe6ae05813c5cbf1b,2016-05-13,38,3.792352275172628,10.56184210526316,34.21052631578947,461.43900280135534,12.143131652667249,0,0,0,0,0,0,18,6,1,8,5,0,0,7,11
37,37,0b631e16fa61f7321da18cf35a076d5f,2016-04-13,394,3.761479861309605,14.402918781725885,48.73096446700507,5503.148860990634,13.967382895915316,0,0,8,20,7,32,30,69,44,42,48,55,39,3,13
38,38,0c02bd2b09f7193103279ab9b760b777,2016-03-29,330,3.9199374409460535,13.022222222222224,23.63636363636364,4080.3452369698134,12.364682536272161,10,9,22,20,51,34,18,25,30,43,24,29,15,1,13
39,39,0ca501b2a1d72e80e0d0cd2c25bdd124,2016-04-21,265,3.2986802746514394,13.657232704402515,38.86792452830189,3267.049646364349,12.328489231563582,0,0,0,10,51,15,1,38,23,34,50,42,1,4,13
40,40,0d53c0441daccbb9022ccdcd2a58c7f7,2016-05-11,40,3.6631942286900223,14.2675,35.0,507.0792807527722,12.676982018819304,0,0,0,0,0,0,1,9,6,10,3,5,6,7,13
41,41,0e7f0f05c7e193b1774c2e5713741cd4,2016-04-04,272,5.78131590663034,15.70686274509804,21.323529411764707,4050.7299726005695,14.892389605149155,0,8,12,34,14,5,31,31,41,33,28,21,14,2,13
42,42,0efa2b92642c1e6db77406bb3761baf4,2016-05-03,346,3.0648886977758663,13.314161849710985,50.289017341040456,4384.907319263387,12.673142541223662,0,0,0,0,0,56,52,42,48,41,34,25,48,6,13
43,43,0eff1404b137a5562642f0f706e59f25,2016-03-29,45,3.2648166329054154,11.054444444444444,15.555555555555555,467.83658371651313,10.396368527033623,17,15,2,11,0,0,0,0,0,0,0,0,0,1,4
44,44,0f057c0c73054f569a59a0880b91cbb0,2016-04-04,32,8.836075658344415,16.444270833333334,9.375,602.3884197517822,18.8246381172432,0,7,0,0,0,1,0,0,0,5,0,10,9,2,13
45,45,0f346940b7c9dc770d408b1063ed2f81,2016-04-14,468,4.534140926699367,16.267307692307693,45.72649572649572,7686.212277381825,16.423530507226126,0,0,38,57,74,60,38,48,43,20,32,28,30,3,13
46,46,100979abe35f7761f333bb7e63649767,2016-04-10,470,4.0742088272475385,14.67095744680851,24.042553191489358,6129.918324209507,13.042379413211716,0,2,55,70,28,70,55,32,22,15,22,53,46,2,13
47,47,10570128e114c22b855f1155b88fb379,2016-04-26,428,3.8540135858793456,14.753855140186912,32.476635514018696,5690.4962645194055,13.295552019905156,0,0,0,0,34,60,40,50,47,57,49,53,38,5,13
48,48,10ab4d373b29fb6ee31ae2b7b39fc574,2016-05-14,32,5.961877229174693,15.401041666666664,28.125,531.9586625624999,16.62370820507812,0,0,0,0,0,0,11,12,2,7,0,0,0,7,10
49,49,10d2c35bb4b440aa1eaf06d477ff27a6,2016-05-11,40,7.4205108926640735,18.225416666666668,25.0,747.4608007847937,18.686520019619845,0,0,0,0,0,0,13,8,0,12,7,0,0,7,11
50,50,1110d496149d3d8c50276765924df831,2016-03-31,28,2.741540897865851,15.046428571428573,25.0,321.85309591923806,11.494753425687074,2,26,0,0,0,0,0,0,0,0,0,0,0,1,2
51,51,1127af601413f32c08e2a89447e5f3b9,2016-04-05,41,5.79731670034709,15.572357723577234,17.073170731707318,604.2127721622942,14.736896882007176,0,5,0,0,0,0,3,0,6,0,0,5,22,2,13
52,52,113d6a61dd3bd21e5bc39bc19197f0f4,2016-04-05,509,3.974566151817645,12.860085134250165,18.860510805500983,6044.906156332208,11.876043529139896,0,25,44,50,46,44,39,56,38,44,56,14,53,2,13
53,53,11506b81721ca68ef019764de3d8edbd,2016-04-22,647,4.462586628915376,15.68575476558475,36.47604327666153,9194.965447495038,14.211693118230356,0,0,0,21,76,80,72,74,62,64,64,71,63,4,13
54,54,117ea72f13b43f0f4055b0472dcb6b1b,2016-04-25,38,5.182771884911305,15.540350877192983,2.631578947368421,503.37437946197394,13.246694196367734,0,0,0,0,13,15,10,0,0,0,0,0,0,5,7
55,55,118be60e268514eb85f66ddb82bfa407,2016-05-11,39,6.013549749491192,14.408974358974357,20.512820512820515,594.1422393289588,15.234416393050225,0,0,0,0,0,0,20,10,1,8,0,0,0,7,10
56,56,122972e7c73c944e744e6eca819d93e7,2016-04-24,40,4.5758509699628425,13.475833333333332,17.5,518.0093811096474,12.950234527741186,0,0,0,2,20,2,8,8,0,0,0,0,0,4,8
57,57,12933735316b452a5bc6a933d1a38124,2016-04-26,542,3.3162020946268598,12.383302583025827,46.863468634686356,6765.91099293396,12.483230614269301,0,0,0,0,36,53,50,65,56,57,73,85,67,5,13
58,58,133c19880625cbe91986ee3c402866cd,2016-04-28,51,3.675699964204057,17.24313725490196,33.333333333333336,714.4178230092253,14.008192608024025,0,0,0,0,8,7,0,3,16,17,0,0,0,5,10
59,59,133faf644d5cfee9460b87eea4367f92,2016-04-08,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
60,60,1340d44ca7946f4192cd80d8f47ce99b,2016-05-05,243,3.0281308990455464,11.576268861454047,54.320987654320994,3037.3961724588958,12.499572726168296,0,0,0,0,0,3,45,29,0,6,57,48,55,6,13
61,61,136b51093f684e15e2798e4dc1e23d0c,2016-05-14,137,5.470012234239562,15.301946472019464,40.875912408759135,2168.6479555480314,15.82954712078855,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
62,62,13fe6713788e9b63f57950320f260512,2016-05-05,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
63,63,14183e69946d782c92eb53b3c6eeb86f,2016-03-30,24,3.051794524463445,14.652083333333335,45.83333333333334,325.5983814803997,13.566599228349988,6,0,0,4,9,1,2,0,0,0,1,1,0,1,12
64,64,146cd888491dd0f348575244f5bbc24e,2016-04-16,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
65,65,148fb453d12992652b56d8bc2cfb1b78,2016-04-16,29,3.2496722794480326,11.458620689655174,24.13793103448276,328.50048726289435,11.327603009065326,0,0,2,1,11,14,0,0,0,1,0,0,0,3,10
66,66,156a150f1dbafbb01a786a5f45bdd7b6,2016-04-04,44,3.3152918700720906,11.756060606060606,22.72727272727273,487.0859963328652,11.070136280292392,0,9,9,9,17,0,0,0,0,0,0,0,0,2,5
67,67,1585fa96f0818e8f4d1cf826b332fda4,2016-05-06,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
68,68,15e0ade28a7d24026b2fe91ef528ddf5,2016-03-29,453,3.597214560225435,13.39102281089036,47.240618101545245,6082.583475579013,13.427336590682149,20,48,35,19,42,17,49,36,26,29,48,33,51,1,13
69,69,162441a5f1b85a5c3780686296c3bc75,2016-04-18,41,6.646066392312923,16.222764227642276,24.39024390243902,684.1420500246478,16.686391464015802,0,0,0,1,9,7,12,1,0,11,0,0,0,4,10
70,70,163b1ac215580e695280d8f94c687ef4,2016-04-18,65,4.937762350739098,12.12205128205128,13.846153846153848,856.1486854217671,13.171518237257954,0,0,0,12,23,5,15,10,0,0,0,0,0,4,8
71,71,1674103b16c39ab56a76884b7c2ca83e,2016-04-18,348,4.076224793514983,13.899808429118774,28.73563218390805,4482.826370993696,12.881684974119818,0,0,0,55,63,46,30,39,62,37,16,0,0,4,11
72,72,1682c469cb12aa06b06d93ab87c3836a,2016-04-20,406,4.271735541804275,13.473316912972086,28.07881773399015,5301.259821854507,13.057290201612089,0,0,0,50,37,48,58,37,60,0,61,2,53,4,13
73,73,1696be121baad60c7ca8a1c8164b24ad,2016-04-22,60,2.7899635875576325,13.815833333333336,33.333333333333336,707.7674836185436,11.796124726975725,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
74,74,16cd1e08be52741e1516cade45ae7754,2016-05-05,61,6.065402638328267,14.556830601092894,19.672131147540984,966.3112398105228,15.841167865746277,0,0,0,0,0,1,23,15,16,5,1,0,0,6,11
75,75,17235b165b78a09be9cd7f9abc1e833a,2016-04-07,682,4.013828258479542,14.847434017595308,35.63049853372434,9183.639420698337,13.46574695117058,0,47,50,69,75,56,54,63,47,83,64,44,30,2,13
76,76,173a168d2b8830525f59be85a35f0000,2016-03-29,38,2.9743968269437686,12.703070175438596,10.526315789473683,390.76847200922936,10.283380842348144,34,2,2,0,0,0,0,0,0,0,0,0,0,1,3
77,77,175540c364f94b6adbc0ce3541a3254a,2016-05-14,54,5.9198065551601795,13.32006172839506,25.92592592592593,889.4939873416021,16.472110876696338,0,0,0,0,0,0,5,25,0,12,0,0,12,7,13
78,78,179ef343f855d34fa0262c720cdb9a52,2016-05-14,21,3.9009780406874865,11.857142857142858,47.61904761904761,275.0999517928675,13.09999770442226,0,0,0,0,0,0,10,11,0,0,0,0,0,7,8
79,79,180284a755fb939181db32b838fd0720,2016-05-07,287,3.707967111325616,12.032810685249707,34.494773519163765,3624.907714055657,12.630340467092884,0,0,0,0,0,26,74,43,45,65,1,7,26,6,13
80,80,1805f90c5220ac830835df3309a76e78,2016-04-04,37,4.977430734573415,16.563063063063062,37.837837837837846,555.4546174073429,15.012286956955213,0,8,2,4,5,5,3,1,0,7,2,0,0,2,11
81,81,181396b71a4723deaa02c3dd3ffa9041,2016-04-06,54,4.993477887645684,14.955555555555556,31.48148148148148,783.113948485093,14.502110157131355,0,10,9,11,24,0,0,0,0,0,0,0,0,2,5
82,82,183336ca67d3257c34cb80c9bd4dfb34,2016-04-19,256,3.1010674406899725,13.097591145833333,58.59375,3523.2173947353167,13.76256794818483,0,0,0,8,22,14,13,13,13,5,53,52,63,4,13
83,83,186d02f3ae489428440a352e3fe503a4,2016-05-06,32,9.37313588179005,20.542708333333334,34.375,720.0934765763192,22.502921143009967,0,0,0,0,0,11,9,0,2,5,3,1,1,6,13
84,84,187a5227c531151abd112eef1d104301,2016-03-30,439,3.63089321439174,14.190242976461654,34.39635535307517,5610.188498828706,12.779472662479966,27,68,14,30,17,6,31,36,71,20,74,36,9,1,13
85,85,19029e596b5c3e45cc6b3cca0640fa58,2016-05-02,45,7.298437040443081,15.772222222222224,28.88888888888889,828.4715152350238,18.41047811633386,0,0,0,0,0,14,18,4,5,4,0,0,0,6,10
86,86,1925803c42c264e21fdcf0a35fbd2107,2016-04-16,379,3.497423500080812,13.992612137203164,45.3825857519789,4939.002188812386,13.03166804435986,0,0,13,57,57,49,67,56,0,0,27,0,53,3,13
87,87,1936275dcb0942dc60a378839fae4730,2016-04-21,296,6.838971087358626,15.862837837837839,17.567567567567572,4953.26958166909,16.734018856990172,0,0,0,3,21,14,60,47,53,15,19,35,29,4,13
88,88,1936720ce0900cbff6d9114328c84bee,2016-04-05,26,5.3900500061659296,11.969871794871795,26.923076923076927,352.45852179464885,13.556096992101875,0,2,9,2,0,1,0,0,0,8,4,0,0,2,11
89,89,1989ad384dd8ab8f43fd19822c36aeac,2016-03-31,347,5.317328251948845,13.735302593659945,14.409221902017293,4786.380676575488,13.793604255260773,13,20,30,26,0,17,33,40,14,26,34,44,50,1,13
90,90,19daceea26aeb211cb8bf28c8497b6c2,2016-04-21,250,3.9771111138727684,16.36133333333333,33.2,3449.1152353117827,13.796460941247132,0,0,0,17,14,26,23,16,20,38,39,18,39,4,13
91,91,19e1cdfeaf90239d8585e6a78136a403,2016-04-05,737,3.2689618719787013,12.185888738127543,29.85074626865672,8669.206267699805,11.762830756716154,0,59,66,53,66,64,55,56,68,71,56,52,71,2,13
92,92,1a2af09b492ba2519c5b4aec478642a7,2016-04-04,254,7.968126807791017,20.47775590551181,32.28346456692913,4985.800957103531,19.62913762639185,0,9,0,8,28,6,46,27,33,0,33,34,30,2,13
93,93,1aee4c95edf898beee1a8b49a1f898b0,2016-04-05,288,7.199256889988027,16.074710648148148,16.666666666666668,4875.989465758224,16.93051897832716,0,22,20,32,30,42,16,20,21,67,18,0,0,2,11
94,94,1b51afba3b72e0259db160170f824f95,2016-04-04,211,4.1076065623321965,13.6108214849921,35.54502369668246,2715.142398431446,12.867973452281735,0,35,20,9,5,7,0,2,1,36,63,33,0,2,12
95,95,1b9ddecea8eb99bc37f9b0711546f1c0,2016-04-20,620,3.827332342611297,12.151129032258066,33.70967741935484,7739.546946458383,12.483140236223196,0,0,0,28,74,85,81,79,93,6,78,50,46,4,13
96,96,1c4312919166a0e7cefe6b3ddf1ec9c6,2016-05-13,47,5.135579564928031,15.298226950354607,36.17021276595744,726.7165023871071,15.462053242278873,0,0,0,0,0,0,5,19,4,0,0,12,7,7,13
97,97,1c44fab20b7f0804c11d88dc0554edf4,2016-05-11,41,4.1827629990418735,13.064227642276425,39.02439024390244,540.0314958844414,13.17149989962052,0,0,0,0,0,0,11,4,10,5,11,0,0,7,11
98,98,1c6e8fbca23da68279d93b2de6eaa3d1,2016-05-01,467,4.068714084955198,12.676695217701642,35.11777301927195,6136.383371586072,13.140007219670391,0,0,0,0,1,30,45,40,62,82,79,70,58,5,13
99,99,1c95fcac4de21d077072da1ea1705eb5,2016-04-20,27,3.3898874578904907,13.364197530864198,22.222222222222218,325.84049414874005,12.068166449953337,0,0,0,27,0,0,0,0,0,0,0,0,0,4,4
100,100,1cf6fa07dcec364af2acf257b2d3731e,2016-05-13,102,3.723722329723767,11.72516339869281,26.470588235294123,1217.4773435704492,11.93605238794558,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
101,101,1cf95d6dd025d792340b623bcff18260,2016-04-11,43,2.9980223006340023,12.707364341085274,37.2093023255814,496.8819285110668,11.555393686303878,0,0,10,27,0,0,0,0,6,0,0,0,0,3,9
102,102,1d789a00290ec2e8a4ae1c704f671caf,2016-04-09,396,4.113544005052327,12.679840067340068,33.83838383838384,5141.6572464271085,12.983982945523,0,19,10,25,54,0,30,59,52,72,18,31,26,2,13
103,103,1d7bc6daa163020694e2a5e636b96a0d,2016-04-20,301,3.823215616711203,13.34717607973422,37.541528239202655,4231.70094654641,14.05880713138342,0,0,0,23,41,64,57,2,73,3,10,21,7,4,13
104,104,1d92784a09b1d1f85b05508e33261efb,2016-04-05,316,6.234122550120005,16.14773206751055,29.430379746835442,5173.998816921843,16.37341397760077,0,41,35,40,30,26,52,25,24,13,15,8,7,2,13
105,105,1e836fdeba5bcacf45438c08bfcf4fa3,2016-04-26,567,3.6049525620819862,13.820340975896533,38.97707231040565,7158.377172153391,12.62500383095836,0,0,0,0,53,34,35,0,77,122,95,79,72,5,13
106,106,1e9570c1846c0f79c1ec103f608bc8ee,2016-05-14,219,3.922450866582308,14.537899543378995,42.46575342465753,2984.7073769754447,13.628800808107052,0,0,0,0,0,0,8,33,39,28,40,40,31,7,13
107,107,1e9b964b3e3d0289794289579269247a,2016-03-28,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
108,108,1eb30783865c10a8abc395e1b73bd578,2016-04-04,28,4.65978511155416,11.521428571428574,17.857142857142858,351.80888814047995,12.564603147874287,0,13,9,3,2,1,0,0,0,0,0,0,0,2,6
109,109,1ed175c60fdf7380fefc804bf4dd75f3,2016-05-13,35,2.3586598942956214,9.745238095238095,17.142857142857142,324.44552764797993,9.269872218513713,0,0,0,0,0,0,0,8,12,0,3,6,6,8,13
110,110,1f83b77c681720ce48d33c21083c27e0,2016-04-13,263,3.575218067572372,15.360392902408114,50.57034220532319,3609.904051854591,13.725870919599204,0,0,30,17,31,30,40,22,22,37,17,0,17,3,13
111,111,1f8e4a81c9da3260c84f14483319a338,2016-04-20,44,3.588074501461356,12.493181818181819,29.54545454545455,521.3995657805892,11.849990131377027,0,0,0,8,0,21,10,0,3,2,0,0,0,4,10
112,112,20f5672c1b6a59b9d5ec09a34ad90e9b,2016-04-30,45,4.138535742050227,14.562222222222225,15.555555555555555,555.3296244568166,12.340658321262591,0,0,0,0,4,27,0,6,0,0,8,0,0,5,11
113,113,215263f9135bdd22b0e41659046b150d,2016-04-13,395,4.31982731186446,14.90476793248945,33.164556962025316,5536.7947899656565,14.017201999913054,0,0,24,60,31,37,40,16,25,14,64,27,57,3,13
114,114,21eb2a893ddf647ee9d307d873a697b7,2016-05-11,551,3.5132121323444085,13.140290381125226,41.92377495462795,7133.010823689627,12.945573182739793,0,0,0,0,0,0,64,92,102,60,65,92,76,7,13
115,115,220d2d2a94c58c0f7ee7cb1864d5f0c5,2016-04-26,370,4.345200768889983,13.477117117117114,45.405405405405396,5197.750979959695,14.047975621512684,0,0,0,0,71,66,55,28,57,52,0,0,41,5,13
116,116,2231ec7a993e7ce92f79588ccc405e21,2016-04-28,39,7.037476423684435,17.225213675213677,17.94871794871795,662.4265737300176,16.985296762308142,0,0,0,0,4,0,15,5,13,1,0,1,0,5,12
117,117,225fb2558cee416b136c9c9231824580,2016-04-16,41,7.560666438931032,15.895934959349596,7.317073170731707,667.000189131362,16.268297295886878,0,0,3,6,5,3,8,3,1,5,3,3,1,3,13
118,118,22ca9510a0c0d97ba66750530ee0e914,2016-04-25,242,4.610357184563211,13.252066115702481,50.0,3652.670467353075,15.093679617161467,0,0,0,0,29,55,1,0,12,4,57,50,34,5,13
119,119,22d43c4cd79a3cbab663d9eadd1e5995,2016-03-31,373,9.336545169583284,20.283467381590704,42.62734584450402,8321.010627483936,22.308339483871144,24,0,47,6,33,25,27,40,23,23,39,42,44,1,13
120,120,23017e4c03d224c89b5e3a0550e1bd9f,2016-04-01,223,3.912803627657629,15.247085201793723,30.044843049327355,2927.8315148549505,13.129289304282286,3,20,0,3,25,8,37,41,17,0,27,24,18,1,13
121,121,236af2c3c395a20fd53696a5634abd7b,2016-03-31,236,4.781855515883658,14.916172316384179,19.491525423728813,3142.769242321905,13.316818823397904,13,36,30,16,31,9,6,0,6,18,25,26,20,1,13
122,122,23d3a2d0f6732d106fbc3d6079ac018d,2016-04-19,75,2.882755249564004,13.056666666666667,56.0,948.1665236566955,12.642220315422607,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
123,123,23f2a72a48ef9f44301dbcfd69f8b3f0,2016-04-20,195,4.90403615050986,16.256581196581198,28.71794871794872,2824.3359875249084,14.483774294999533,0,0,0,31,49,24,4,0,4,0,4,45,34,4,13
124,124,2422c0748699c412f9759b2897484061,2016-05-05,468,3.7951972985899936,14.282727920227922,33.76068376068376,6064.248328751742,12.957795574255858,0,0,0,0,0,42,71,65,54,63,74,39,60,6,13
125,125,24708f36edaf58e1c50b06720b536b45,2016-04-06,254,4.2334662744809854,13.753871391076114,22.047244094488192,3220.9945173373344,12.68108077691864,0,21,45,36,26,12,0,0,5,5,34,38,32,2,13
126,126,2494554e7702a28816717bc0cbf7d57b,2016-05-02,212,5.467502674833771,13.454559748427672,24.05660377358491,2991.211697345909,14.1094891384241,0,0,0,0,0,29,14,10,10,6,25,59,59,6,13
127,127,24b79c598cb070bf049057bd529d3c86,2016-04-05,225,4.921736032576502,14.713629629629631,39.111111111111114,3261.9441321255913,14.49752947611374,0,26,19,18,22,10,11,15,7,18,0,26,53,2,13
128,128,24f805c6313acfbc2250cbfd90268b24,2016-04-09,45,6.196991727457633,15.725185185185184,42.22222222222222,746.7871034678814,16.595268965952922,0,0,5,6,0,5,5,0,3,3,1,6,11,3,13
129,129,25061f5683655c7cc6e503eb0383c96e,2016-04-14,364,6.061847823222053,15.984432234432235,45.604395604395606,6203.090325594135,17.041456938445425,0,0,33,7,0,45,62,63,61,42,44,6,1,3,13
